hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
12756011,012756,011,81,5,,,,,5,50,2,,,1,17,,,,,,,,,,,,,,,,,800000,99999998,1,1600000,,100000,250000
12852030,012852,030,63,1,,,,,1,50,2,,,2,13,50,50,75,75,50,50,1,7,7,5,5,5,7,5,5,,,,5,,,,
12854010,012854,010,85,5,4,,,,5,40,,20,15,2,9,,,,,,,,,,,,,,,,,,,5,,,150,
12864020,012864,020,85,5,,,,,5,90,,90,50,2,11,,,,,,,,,,,,,,,,,,,5,,,54000,
12909020,012909,020,81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,9999999,
12964040,012964,040,91,5,,,,,5,50,2,,,2,17,,,,,,,,,,,,,,,,,,,5,,,100000,
12967010,012967,010,79,1,,,,,1,50,2,,,2,16,40,40,50,50,50,40,1,8,5,5,4,4,5,5,2,,,,5,,,35000,
12979010,012979,010,83,5,,,,,5,60,,60,10,1,12,40,30,20,20,30,20,1,8,5,5,5,5,5,5,6,,,,5,,,25000,
12979020,012979,020,84,5,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,25000,
12981031,012981,031,77,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
13062010,013062,010,85,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,,
13063010,013063,010,79,5,,,,,5,-8,,-8,,2,17,,,,,,,,,,,,,,,,0,,,5,,,,
13140010,013140,010,88,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,149,
13158010,013158,010,80,4,5,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,,,5,,,-8,
13176020,013176,020,82,5,,,,,5,,,,,2,14,100,0,0,0,0,0,1,8,8,1,8,2,2,1,1,,,,9,,,9999999,
13189030,013189,030,73,5,6,,,,5,90,,90,50,2,16,,,,,,,,,,,,,,,,,,,,,,,
13194010,013194,010,81,5,,,,,5,10,,10,10,2,14,,,,,,,,,,,,,,,,,,99999998,5,,,9999999,
13211010,013211,010,84,5,,,,,5,998,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
13211020,013211,020,85,6,,,,,5,,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,9999999,
13317010,013317,010,83,7,,,,,5,0,,,100,2,13,,,,,,,,,,,,,,,,,,,5,,,800,
13318020,013318,020,86,5,,,,,5,10,,10,30,1,16,,,,,,,,,,,,,,,,,,,5,,,8000,
13344010,013344,010,79,1,,,,,1,50,2,,,1,17,50,50,80,60,50,50,1,5,5,5,7,3,7,7,2,,150000,0,1,1200000,60000,100000,
13344040,013344,040,71,5,,,,,5,100,,0,,2,16,,,,,,,,,,,,,,,,,150000,0,1,1200000,60000,100000,
13371010,013371,010,86,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,5,,,,
13371012,013371,012,73,5,,,,,5,90,,90,40,2,17,80,80,80,0,0,20,1,8,8,8,10,10,10,10,5,,,,5,,,,
13392020,013392,020,78,5,,,,,5,0,,,,1,9,,,,,,,,,,,,,,,,,,,5,,,,
13399010,013399,010,81,5,,,,,5,90,,90,10,2,10,,,,,,,,,,,,,,,,,,,5,,,150000,
13433030,013433,030,70,5,,,,,5,15,,10,25,2,12,20,20,25,25,20,25,1,9,5,5,4,2,2,3,5,,,,5,,,,
13465010,013465,010,82,5,,,,,5,10,,10,998,1,11,,,,,,,,,,,,,,,,,,,5,,,3000,
13560010,013560,010,79,5,,,,,5,998,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
13561020,013561,020,79,5,,,,,5,80,,30,20,1,14,,,,,,,,,,,,,,,,,,,5,,,95000,
13583030,013583,030,77,5,,,,,1,50,2,,,2,12,,,,,,,,,,,,,,,,0,,,5,,,9999999,
13590030,013590,030,75,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,50000,
13590040,013590,040,77,5,,,,,5,30,,0,50,1,12,,,,,,,,,,,,,,,,,,,5,,,50000,
13595011,013595,011,79,5,,,,,5,15,,998,,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,560000,70000
13612010,013612,010,79,5,,,,,5,998,,,,2,15,,,,,,,,,,,,,,,,,,,5,,,800,
13637040,013637,040,94,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,5,,,5000,
13656040,013656,040,73,4,,,,,5,50,2,,,2,12,0,0,0,0,0,0,1,5,10,10,5,5,99,5,5,,,,5,,,899,
13671020,013671,020,83,3,,,,,5,10,,0,0,2,12,,,,,,,,,,,,,,,,,750,,5,,12000,,
13734010,013734,010,80,5,,,,,5,50,8,,,1,17,,,,,,,,,,,,,,,,,,,5,,,2000,
13734020,013734,020,83,5,,,,,5,50,8,,,2,12,,,,,,,,,,,,,,,,,,,5,,,2000,
13738020,013738,020,88,5,,,,,5,50,2,,,1,10,,,,,,,,,,,,,,,,,,,1,250000,30000,20000,
13784010,013784,010,80,5,,,,,5,,,,,2,17,,,,,,,,,,,,,,,,,,,5,,,120000,
13784040,013784,040,78,5,,,,,5,80,,20,20,1,17,,,,,,,,,,,,,,,,,,,5,,,120000,
13802020,013802,020,81,5,,,,,5,40,,40,40,2,15,,,,,,,,,,,,,,,,,,,5,,,,
13808010,013808,010,81,5,,,,,5,70,,70,50,1,16,,,,,,,,,,,,,,,,,1000000,1000000,5,,,10000,
13808011,013808,011,81,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,20000000,5,,,7000,
13813010,013813,010,81,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,5,,,9999998,
13814010,013814,010,81,5,,,,,5,50,2,,,1,16,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
13814040,013814,040,75,5,,,,,5,70,,40,10,2,13,,,,,,,,,,,,,,,,,,,1,999999999,,9999999,
13816010,013816,010,79,5,,,,,5,100,,100,,1,16,,,,,,,,,,,,,,,,,,,1,9000,,190000,
13816040,013816,040,78,5,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,1,9000,,190000,
13817010,013817,010,80,5,,,,,5,40,,40,60,2,17,,,,,,,,,,,,,,,,,,,8,,9999998,40000,
13817011,013817,011,74,5,,,,,5,50,2,,,2,14,,,,,,,,,,,,,,,,,,,8,,9999998,40000,
13817040,013817,040,71,5,,,,,5,20,,50,40,2,17,,,,,,,,,,,,,,,,,,,1,400000,,40000,20000
13817041,013817,041,75,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,400000,,40000,20000
13820010,013820,010,80,5,,,,,5,40,,50,20,2,17,,,,,,,,,,,,,,,,,,,1,2500000,,40000,
